366015,MENTOR WAY NURSING & REHAB CTR,OH
366017,ARCADIA ACRES INC,OH
366024,SYCAMORE RUN NURSING AND REHAB CTR,OH
366032,HILTY MEMORIAL HOME INC,OH
366033,SIDNEY CARE CENTER,OH
366039,POINT PLACE CARE AND REHABILITATION CE,OH
366041,SWAN POINTE CARE CENTER,OH
366044,GARDENS OF PAULDING,OH
366097,FULTON MANOR NURSING & REHAB C,OH
366100,HEARTLAND OF CENTERVILLE,OH
366177,CUMBERLAND POINTE CARE CENTER,OH
366199,HEARTLAND FAIRFIELD NURSING CENTER,OH
366199,HEARTLAND-FAIRFIELD NURSING CENTER,OH
366238,VICTORIA  RETIREMENT COMMUNITY,OH
366262,WINTERSONG VILLAGE OF WASHINGT,OH
366278,STOW GLEN HEALTH CARE CENTER,OH
366296,CEDARS OF LEBANON,OH
366304,HEARTLAND OF MARION,OH
366309,ADKINS CARE CENTER #1,OH
366330,ECHOING HILLS RESIDENTIAL CTR,OH
366343,MANORCARE HEALTH SERVICES -  PARMA,OH
366378,COVINGTON SKILLED NURSING & REHAB CENT,OH
375042,MANORCARE HEALTH SERVICES-NORTHWEST,OK
375094,MANORCARE HEALTH SERVICES-TULSA,OK
375098,MANORCARE HEALTH SERVICES-MIDWEST CITY,OK
375135,MANORCARE HEALTH SERVICES-SOUTHWEST,OK
375155,GRACE LIVING CENTER-NORTHEAST O K C,OK
